Ref,Agent Code,Booking Date,Amount ,Product,Notes
NW-2026-0201,AG-001,02/03/2026,5200.30,TRAVEL,
NW-2026-0202,AG-001,06/03/2026,"4,300.40",TRAVEL,repeat client
NW-2026-0203,AG-001,13/03/2026,Rs. 3100.20,VISA,
NW-2026-0204,AG-001,21/03/2026,2000.10,INSURANCE,
NW-2026-0205,AG-001,31/03/2026,1798.50,TRAVEL,month end
NW-2026-0206,AG-002,01/03/2026,22000.00,INSURANCE,
NW-2026-0207,ag-002,09/03/2026,18750.65,INSURANCE,
NW-2026-0208,AG-002 ,17/03/2026,"31,200.40",TRAVEL,"corporate, multi-leg"
NW-2026-0209,AG-002,24/03/2026,7425.955,VISA,
NW-2026-0210,AG-002,30/03/2026,12080,INSURANCE,

NW-2026-0211,AG-003,10/03/2026,5600.00,TRAVEL,
NW-2026-0212,AG-003,20/03/2026,2100.00,TRAVEL,agent has left
NW-2026-0213,AG-002,2026-03-01,990.00,VISA,imported from old system
NW-2026-0214,AG-999,11/03/2026,4500.00,TRAVEL,who is this
NW-2026-0215,,14/03/2026,3200.00,VISA,agent column empty
NW-2026-0216,AG-002,31/02/2026,1800.00,TRAVEL,
NW-2026-0217,AG-001,18/03/2026,-1250.00,TRAVEL,refund of NW-2026-0102
NW-2026-0218,AG-002,22/03/2026,0.00,VISA,zero value booking
NW-2026-0219,AG-001,25/03/2026,6300.00,TRAVEL,,extra column here
NW-2026-0220,AG-002,26/03/2026,9100.00
NW-2026-0221,AG-001,28/03/2026,15000.00,FREIGHT,product not in our catalogue
NW-2026-0202,AG-001,06/03/2026,"4,300.40",TRAVEL,duplicate of an earlier row
NW-2026-0203,AG-001,13/03/2026,3100.20,VISA,same ref different amount format
NW-2026-0222,AG-001,05/04/2026,7700.00,TRAVEL,outside the march period
NW-2026-0223,AG-002,15/09/2027,5000.00,INSURANCE,dated in the future
NW-2026-0224,AG-001,07/03/2026,1,250.75,TRAVEL,unquoted thousands separator
NW-2026-0225,AG-002,19/03/2026,USD 400.00,FREIGHT,client paid in dollars
NW-2026-0226,AG-001, 23/03/2026 ,4820.55,travel,
NW-2026-0227,AG-002,27/03/2026,11500.00,INSURANCE,
